symbol,name,market_code,asset_class,currency,tick_size,lot_size
85620,미래에셋생명,KRX,kr_stock,KRW,100,1
361610,SK아이이테크놀로지,KRX,kr_stock,KRW,100,1
23590,다우기술,KRX,kr_stock,KRW,100,1
77970,STX엔진,KRX,kr_stock,KRW,100,1
5070,코스모신소재,KRX,kr_stock,KRW,100,1
462870,시프트업,KRX,kr_stock,KRW,100,1
1120,LX인터내셔널,KRX,kr_stock,KRW,100,1
3540,대신증권,KRX,kr_stock,KRW,100,1
475150,SK이터닉스,KRX,kr_stock,KRW,100,1
395400,SK리츠,KRX,kr_stock,KRW,100,1
6040,동원산업,KRX,kr_stock,KRW,100,1
6280,녹십자,KRX,kr_stock,KRW,100,1
3570,SNT다이내믹스,KRX,kr_stock,KRW,100,1
69620,대웅제약,KRX,kr_stock,KRW,100,1
20560,아시아나항공,KRX,kr_stock,KRW,100,1
281820,케이씨텍,KRX,kr_stock,KRW,100,1
30610,교보증권,KRX,kr_stock,KRW,100,1
1740,SK네트웍스,KRX,kr_stock,KRW,100,1
32350,롯데관광개발,KRX,kr_stock,KRW,100,1
3530,한화투자증권,KRX,kr_stock,KRW,100,1
1800,오리온홀딩스,KRX,kr_stock,KRW,100,1
294870,IPARK현대산업개발,KRX,kr_stock,KRW,100,1
4000,롯데정밀화학,KRX,kr_stock,KRW,100,1
195870,해성디에스,KRX,kr_stock,KRW,100,1
73240,금호타이어,KRX,kr_stock,KRW,100,1
34230,파라다이스,KRX,kr_stock,KRW,100,1
93370,후성,KRX,kr_stock,KRW,100,1
7310,오뚜기,KRX,kr_stock,KRW,100,1
6110,삼아알미늄,KRX,kr_stock,KRW,100,1
12630,HDC,KRX,kr_stock,KRW,100,1
66575,LG전자우,KRX,kr_stock,KRW,100,1
51915,LG화학우,KRX,kr_stock,KRW,100,1
210,DL,KRX,kr_stock,KRW,100,1
100090,SK오션플랜트,KRX,kr_stock,KRW,100,1
3470,유안타증권,KRX,kr_stock,KRW,100,1
82640,동양생명,KRX,kr_stock,KRW,100,1
90460,비에이치,KRX,kr_stock,KRW,100,1
192080,더블유게임즈,KRX,kr_stock,KRW,100,1
3090,대웅,KRX,kr_stock,KRW,100,1
181710,NHN,KRX,kr_stock,KRW,100,1
300720,한일시멘트,KRX,kr_stock,KRW,100,1
456040,OCI,KRX,kr_stock,KRW,100,1
6340,대원전선,KRX,kr_stock,KRW,100,1
415640,KB발해인프라,KRX,kr_stock,KRW,100,1
80,하이트진로,KRX,kr_stock,KRW,100,1
3240,태광산업,KRX,kr_stock,KRW,100,1
89860,롯데렌탈,KRX,kr_stock,KRW,100,1
670,영풍,KRX,kr_stock,KRW,100,1
330590,롯데리츠,KRX,kr_stock,KRW,100,1
815,삼성화재우,KRX,kr_stock,KRW,100,1
9450,경동나비엔,KRX,kr_stock,KRW,100,1
185750,종근당,KRX,kr_stock,KRW,100,1
9155,삼성전기우,KRX,kr_stock,KRW,100,1
