instrument_id,symbol,name,market_code,asset_class,currency,tick_size,lot_size,is_tradable,is_active
ff37a9ab-864e-4a71-9f6f-0d589b3a3d02,011210,현대위아,KRX,kr_stock,KRW,100,1,TRUE,TRUE
84b2056a-fe7f-4c59-a365-9036cf880e1b,012750,에스원,KRX,kr_stock,KRW,100,1,TRUE,TRUE
873aac74-a079-40f3-91b7-2176c5aca2ce,004000,롯데정밀화학,KRX,kr_stock,KRW,100,1,TRUE,TRUE
2e8c17f1-12f8-402e-9ddd-215cef5e6fce,001680,대상,KRX,kr_stock,KRW,100,1,TRUE,TRUE
b1b4cee8-b4f0-4572-961d-ad425c65a2f9,000670,영풍,KRX,kr_stock,KRW,100,1,TRUE,TRUE
0e5d9fa5-1e4f-47ef-b393-2f96af58edd0,001230,동국제강,KRX,kr_stock,KRW,100,1,TRUE,TRUE
de695bba-3761-485f-93b9-55e0709b3f96,006650,대한유화,KRX,kr_stock,KRW,100,1,TRUE,TRUE
08eedfb8-ac99-43bb-938a-a432b4fce7e4,005385,현대차우,KRX,kr_stock,KRW,100,1,TRUE,TRUE
68cd4ac3-ab2a-422f-9e1e-455f148dd340,016360,삼성증권,KRX,kr_stock,KRW,100,1,TRUE,TRUE
68d46f82-3203-4f49-b9a0-512883d05a99,003670,포스코퓨처엠,KRX,kr_stock,KRW,100,1,TRUE,TRUE
dcea83a9-90b3-4113-a20d-4aa942bf37fb,137310,에스디바이오센서,KRX,kr_stock,KRW,100,1,TRUE,TRUE
c9527b02-bd3d-4228-bada-1e7364899b96,361610,SK아이이테크놀로지,KRX,kr_stock,KRW,100,1,TRUE,TRUE
