code,name,market,is_kospi200
200880,서연이화,KOSPI,False
005720,넥센,KOSPI,False
091810,트리니티항공,KOSPI,False
001390,KG케미칼,KOSPI,False
092220,KEC,KOSPI,False
007690,국도화학,KOSPI,False
128820,대성산업,KOSPI,False
02826K,삼성물산우B,KOSPI,False
001230,동국홀딩스,KOSPI,False
018250,애경산업,KOSPI,False
092230,KPX홀딩스,KOSPI,False
002900,TYM,KOSPI,False
026890,스틱인베스트먼트,KOSPI,False
016800,퍼시스,KOSPI,False
017860,DS단석,KOSPI,False
104700,한국철강,KOSPI,False
001750,한양증권,KOSPI,False
126560,현대퓨처넷,KOSPI,False
108670,LX하우시스,KOSPI,False
024720,콜마홀딩스,KOSPI,False
084690,대상홀딩스,KOSPI,False
001940,KISCO홀딩스,KOSPI,False
005010,휴스틸,KOSPI,False
002310,아세아제지,KOSPI,False
011500,한농화성,KOSPI,False
286940,롯데이노베이트,KOSPI,False
272450,진에어,KOSPI,False
001250,GS글로벌,KOSPI,False
900140,엘브이엠씨홀딩스,KOSPI,False
033270,유나이티드제약,KOSPI,False
005500,삼진제약,KOSPI,False
003920,남양유업,KOSPI,False
092200,디아이씨,KOSPI,False
017390,서울가스,KOSPI,False
000490,대동,KOSPI,False
000680,LS네트웍스,KOSPI,False
006805,미래에셋증권우,KOSPI,False
004430,송원산업,KOSPI,False
096760,JW홀딩스,KOSPI,False
037270,YG PLUS,KOSPI,False
123890,한국자산신탁,KOSPI,False
037710,광주신세계,KOSPI,False
001460,BYC,KOSPI,False
002320,한진,KOSPI,False
475560,더본코리아,KOSPI,False
003520,영진약품,KOSPI,False
004360,세방,KOSPI,False
005680,삼영전자,KOSPI,False
003200,일신방직,KOSPI,False
012200,계양전기,KOSPI,False
334890,이지스밸류플러스리츠,KOSPI,False
003960,사조대림,KOSPI,False
001780,알루코,KOSPI,False
003070,코오롱글로벌,KOSPI,False
001340,PKC,KOSPI,False
088260,이리츠코크렙,KOSPI,False
034120,SBS,KOSPI,False
136490,선진,KOSPI,False
003120,일성아이에스,KOSPI,False
035510,신세계 I&C,KOSPI,False
134380,미원화학,KOSPI,False
000320,노루홀딩스,KOSPI,False
005950,이수화학,KOSPI,False
053690,한미글로벌,KOSPI,False
000540,흥국화재,KOSPI,False
226320,잇츠한불,KOSPI,False
000050,경방,KOSPI,False
011690,와이투솔루션,KOSPI,False
004380,삼익THK,KOSPI,False
241590,화승엔터프라이즈,KOSPI,False
044450,KSS해운,KOSPI,False
001130,대한제분,KOSPI,False
000430,대원강업,KOSPI,False
008350,남선알미늄,KOSPI,False
