symbol,name,market_code,asset_class,currency,tick_size,lot_size,is_active
011170,롯데케미칼,KRX,kr_stock,KRW,100,1,TRUE
014680,한솔케미칼,KRX,kr_stock,KRW,100,1,TRUE
011780,금호석유화학,KRX,kr_stock,KRW,100,1,TRUE
012510,더존비즈온,KRX,kr_stock,KRW,100,1,TRUE
017800,현대엘리베이터,KRX,kr_stock,KRW,100,1,TRUE
251270,넷마블,KRX,kr_stock,KRW,100,1,TRUE
111770,영원무역,KRX,kr_stock,KRW,100,1,TRUE
020150,롯데에너지머티리얼즈,KRX,kr_stock,KRW,100,1,TRUE
036460,한국가스공사,KRX,kr_stock,KRW,100,1,TRUE
035250,강원랜드,KRX,kr_stock,KRW,100,1,TRUE
097950,CJ제일제당,KRX,kr_stock,KRW,100,1,TRUE
302440,SK바이오사이언스,KRX,kr_stock,KRW,100,1,TRUE
375500,DL이앤씨,KRX,kr_stock,KRW,100,1,TRUE
457190,이수스페셜티케미컬,KRX,kr_stock,KRW,100,1,TRUE
139480,이마트,KRX,kr_stock,KRW,100,1,TRUE
028670,팬오션,KRX,kr_stock,KRW,100,1,TRUE
031210,서울보증보험,KRX,kr_stock,KRW,100,1,TRUE
483650,달바글로벌,KRX,kr_stock,KRW,100,1,TRUE
383220,F&F,KRX,kr_stock,KRW,100,1,TRUE
005850,에스엘,KRX,kr_stock,KRW,100,1,TRUE
001720,신영증권,KRX,kr_stock,KRW,100,1,TRUE
139130,iM금융지주,KRX,kr_stock,KRW,100,1,TRUE
006360,GS건설,KRX,kr_stock,KRW,100,1,TRUE
204320,HL만도,KRX,kr_stock,KRW,100,1,TRUE
004990,롯데지주,KRX,kr_stock,KRW,100,1,TRUE
012750,에스원,KRX,kr_stock,KRW,100,1,TRUE
071970,HD현대마린엔진,KRX,kr_stock,KRW,100,1,TRUE
007340,DN오토모티브,KRX,kr_stock,KRW,100,1,TRUE
439260,대한조선,KRX,kr_stock,KRW,100,1,TRUE
229640,LS에코에너지,KRX,kr_stock,KRW,100,1,TRUE
001450,현대해상,KRX,kr_stock,KRW,100,1,TRUE
009970,영원무역홀딩스,KRX,kr_stock,KRW,100,1,TRUE
322000,HD현대에너지솔루션,KRX,kr_stock,KRW,100,1,TRUE
00680K,미래에셋증권2우B,KRX,kr_stock,KRW,100,1,TRUE
069960,현대백화점,KRX,kr_stock,KRW,100,1,TRUE
000155,두산우,KRX,kr_stock,KRW,100,1,TRUE
011210,현대위아,KRX,kr_stock,KRW,100,1,TRUE
120110,코오롱인더,KRX,kr_stock,KRW,100,1,TRUE
018670,SK가스,KRX,kr_stock,KRW,100,1,TRUE
103140,풍산,KRX,kr_stock,KRW,100,1,TRUE
001430,세아베스틸지주,KRX,kr_stock,KRW,100,1,TRUE
008770,호텔신라,KRX,kr_stock,KRW,100,1,TRUE
026960,동서,KRX,kr_stock,KRW,100,1,TRUE
051600,한전KPS,KRX,kr_stock,KRW,100,1,TRUE
282330,BGF리테일,KRX,kr_stock,KRW,100,1,TRUE
009420,한올바이오파마,KRX,kr_stock,KRW,100,1,TRUE
008930,한미사이언스,KRX,kr_stock,KRW,100,1,TRUE
007070,GS리테일,KRX,kr_stock,KRW,100,1,TRUE
005440,현대지에프홀딩스,KRX,kr_stock,KRW,100,1,TRUE
161890,한국콜마,KRX,kr_stock,KRW,100,1,TRUE
004370,농심,KRX,kr_stock,KRW,100,1,TRUE
007810,코리아써키트,KRX,kr_stock,KRW,100,1,TRUE
112610,씨에스윈드,KRX,kr_stock,KRW,100,1,TRUE
000240,한국앤컴퍼니,KRX,kr_stock,KRW,100,1,TRUE
