symbol,membership_code,source_name,source_ref,as_of_date,note
139480,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
161890,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
192820,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
204320,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
002790,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
004990,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
007070,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
009420,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
375500,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000120,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
001800,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
006040,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
006280,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
007310,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
008770,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
011210,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
069620,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
071970,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
112610,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
120110,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
192080,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
298020,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
457190,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000080,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000210,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
361610,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
300720,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
280360,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
185750,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
137310,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
093370,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
071320,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
034230,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
017960,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
009240,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
005300,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
004000,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
003240,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
001430,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
003090,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
008730,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
006650,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
005420,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
069260,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
298050,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
268280,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
456040,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
003030,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
002840,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
002030,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
001680,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
285130,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
000670,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
014820,KOSPI200,krx_manual,local-upload,2026-07-31,검증완료
196170,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
086520,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
247540,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
277810,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
036930,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
058470,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
240810,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
028300,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
319660,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
298380,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
039030,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
214450,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
000250,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
141080,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
222800,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
214370,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
087010,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
145020,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
403870,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
095340,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
108490,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
214150,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
084370,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
095610,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
319400,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
347850,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
257720,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
080220,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
178320,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
263750,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
058610,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
031980,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
131290,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
310210,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
226950,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
005290,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
067310,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
357780,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
098460,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
064760,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
237690,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
068760,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
140860,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
089970,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
041510,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
032820,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
089030,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
035900,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
007390,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
290650,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
096530,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
060370,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
0009K0,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
420770,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
082920,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
131970,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
083650,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
437730,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
030530,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
039200,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
218410,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
183300,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
078600,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
003380,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
043260,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
166090,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
195940,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
475830,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
323280,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
101490,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
293490,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
241710,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
036540,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
065350,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
085660,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
038500,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
204270,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
388720,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
090710,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
213420,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
014620,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
032190,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
056190,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
099320,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
122870,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
232140,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
281740,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
417200,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
328130,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
035760,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
137400,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
100790,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
033100,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
445680,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
253450,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
074600,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
036830,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
006730,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
189300,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
053800,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
090360,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
171090,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
032500,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
225570,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
466100,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
052400,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
399720,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
251970,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
048410,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
112040,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
161580,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
067160,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
050890,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
222080,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
211050,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
358570,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
124500,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
121600,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
060250,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
033500,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
376300,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
082270,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
214430,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
015750,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
018290,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
056080,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
042000,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
030520,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
009520,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
295310,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
215200,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
272290,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
348370,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
095660,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
036810,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
278280,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
036620,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
041190,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
253590,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
078340,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
069080,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
025980,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
060280,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
025320,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
348210,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
025900,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
125490,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
101730,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
352480,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
194480,KOSDAQ150,krx_manual,local-upload,2026-07-31,검증완료
